,name,M/F,n,year
556,Joseph,M,3844,1907
557,Frank,M,2943,1907
558,Edward,M,2576,1907
559,Henry,M,2203,1907
560,Mary,F,18665,1908
561,Helen,F,8439,1908
562,Margaret,F,6976,1908
563,Ruth,F,6180,1908
564,Anna,F,5860,1908
565,Dorothy,F,5703,1908
566,Elizabeth,F,4904,1908
567,Mildred,F,4624,1908
568,Alice,F,4270,1908
569,Marie,F,4076,1908
570,John,M,9342,1908
571,William,M,7528,1908
572,James,M,7012,1908
573,George,M,4584,1908
574,Robert,M,4219,1908
575,Joseph,M,4162,1908
576,Charles,M,3929,1908
577,Frank,M,3146,1908
578,Edward,M,2707,1908
579,Thomas,M,2301,1908
580,Mary,F,19259,1909
581,Helen,F,9250,1909
582,Margaret,F,7359,1909
583,Ruth,F,6509,1909
584,Dorothy,F,6253,1909
585,Anna,F,5804,1909
586,Elizabeth,F,5176,1909
587,Mildred,F,5054,1909
588,Marie,F,4301,1909
589,Alice,F,4170,1909
590,John,M,9591,1909
591,William,M,7914,1909
592,James,M,7594,1909
593,George,M,4688,1909
594,Robert,M,4563,1909
595,Joseph,M,4348,1909
596,Charles,M,4029,1909
597,Frank,M,3244,1909
598,Edward,M,2935,1909
599,Thomas,M,2468,1909
600,Mary,F,22848,1910
601,Helen,F,10479,1910
602,Margaret,F,8226,1910
603,Dorothy,F,7318,1910
604,Ruth,F,7212,1910
605,Anna,F,6436,1910
606,Elizabeth,F,5800,1910
607,Mildred,F,5692,1910
608,Marie,F,4790,1910
609,Alice,F,4671,1910
610,John,M,11450,1910
611,James,M,9195,1910
612,William,M,8844,1910
613,Robert,M,5609,1910
614,George,M,5441,1910
615,Joseph,M,5228,1910
616,Charles,M,4785,1910
617,Frank,M,3768,1910
618,Edward,M,3408,1910
619,Henry,M,2899,1910
620,Mary,F,24390,1911
621,Helen,F,11801,1911
622,Margaret,F,9279,1911
623,Dorothy,F,8869,1911
624,Ruth,F,8003,1911
625,Anna,F,6753,1911
626,Elizabeth,F,6298,1911
627,Mildred,F,6271,1911
628,Marie,F,5017,1911
629,Frances,F,4967,1911
630,John,M,13446,1911
631,William,M,10593,1911
632,James,M,9951,1911
633,George,M,6586,1911
634,Robert,M,6526,1911
635,Joseph,M,6488,1911
636,Charles,M,5725,1911
637,Frank,M,4314,1911
638,Edward,M,4164,1911
639,Thomas,M,3292,1911
640,Mary,F,32304,1912
641,Helen,F,16133,1912
642,Dorothy,F,12645,1912
643,Margaret,F,12536,1912
644,Ruth,F,11280,1912
645,Mildred,F,8764,1912
646,Anna,F,8586,1912
647,Elizabeth,F,8528,1912
648,Frances,F,6680,1912
649,Marie,F,6642,1912
650,John,M,24587,1912
651,William,M,19626,1912
652,James,M,17644,1912
653,Robert,M,12836,1912
654,Joseph,M,12062,1912
655,George,M,11734,1912
656,Charles,M,11070,1912
657,Edward,M,7936,1912
658,Frank,M,7912,1912
659,Thomas,M,6087,1912
660,Mary,F,36642,1913
661,Helen,F,18888,1913
662,Dorothy,F,14674,1913
663,Margaret,F,14486,1913
664,Ruth,F,12609,1913
665,Mildred,F,9921,1913
666,Anna,F,9687,1913
667,Elizabeth,F,9505,1913
668,Frances,F,7694,1913
669,Marie,F,7353,1913
670,John,M,29329,1913
671,William,M,23538,1913
672,James,M,20832,1913
673,Robert,M,15684,1913
674,Joseph,M,14471,1913
675,George,M,13874,1913
676,Charles,M,13190,1913
677,Edward,M,9474,1913
678,Frank,M,9237,1913
679,Thomas,M,7096,1913
680,Mary,F,45345,1914
681,Helen,F,23221,1914
682,Dorothy,F,18782,1914
683,Margaret,F,17763,1914
684,Ruth,F,15839,1914
685,Anna,F,11865,1914
686,Mildred,F,11650,1914
687,Elizabeth,F,11367,1914
688,Frances,F,9677,1914
689,Marie,F,8829,1914
690,John,M,37948,1914
691,William,M,29753,1914
692,James,M,26263,1914
693,Robert,M,21188,1914
694,Joseph,M,18829,1914
695,George,M,17603,1914
696,Charles,M,16937,1914
697,Edward,M,12318,1914
698,Frank,M,12002,1914
699,Walter,M,8962,1914
700,Mary,F,58187,1915
701,Helen,F,30866,1915
702,Dorothy,F,25154,1915
703,Margaret,F,23054,1915
704,Ruth,F,21878,1915
705,Mildred,F,15254,1915
706,Anna,F,15119,1915
707,Elizabeth,F,14103,1915
708,Frances,F,12787,1915
709,Evelyn,F,11595,1915
710,John,M,47576,1915
711,William,M,38564,1915
712,James,M,33775,1915
713,Robert,M,28738,1915
714,Joseph,M,23052,1915
715,George,M,22307,1915
716,Charles,M,21960,1915
717,Edward,M,15889,1915
718,Frank,M,15006,1915
719,Thomas,M,11490,1915
720,Mary,F,61438,1916
721,Helen,F,32662,1916
722,Dorothy,F,27417,1916
723,Margaret,F,24953,1916
724,Ruth,F,23190,1916
725,Mildred,F,15633,1916
726,Anna,F,15228,1916
727,Elizabeth,F,14939,1916
728,Frances,F,13746,1916
729,Virginia,F,12487,1916
730,John,M,50043,1916
731,William,M,40419,1916
732,James,M,35569,1916
733,Robert,M,31741,1916
734,Joseph,M,23883,1916
735,Charles,M,23611,1916
736,George,M,23380,1916
737,Edward,M,17005,1916
738,Frank,M,15291,1916
739,Thomas,M,11998,1916
740,Mary,F,64281,1917
